name,date,temperature,DAQ,exposure,bias,RN,EmGain,flux,smearing,sCIC
2019-02-08_-85T_9200G_50s.csv,20190208,-85,9200,50,2319.5,94.0,436.8,0.041,1.5,0.041
2019-02-08_-85T_9200G_300s.csv,20190208,-85,9200,300,2312.5,93.2,412.1,0.324,1.5,0.044
2019-02-08_-85T_9200G_1s.csv,20190208,-85,9200,1,2464.5,96.8,530.8,0.01,1.5,0.005
2019-02-08_-85T_9200G_10s.csv,20190208,-85,9200,10,2390.5,99.4,610.7,0.02,1.5,-0.0
2019-02-08_-85T_9200G_100s.csv,20190208,-85,9200,100,2313.5,96.2,406.1,0.099,1.5,0.034
2019-02-08_-85T_9200G_0s.csv,20190208,-85,9200,0,2477.5,101.5,559.9,0.004,1.5,0.003
2019-02-07_-95T_9400G_50s.csv,20190207,-95,9400,50,2557.5,105.5,3758.7,0.015,1.5,0.001
2019-02-07_-95T_9400G_1s.csv,20190207,-95,9400,1,2642.5,96.1,3475.4,0.011,1.5,-0.0
2019-02-07_-95T_9400G_10s.csv,20190207,-95,9400,10,2613.5,101.1,4140.4,0.008,1.5,0.002
2019-02-07_-95T_9400G_0s.csv,20190207,-95,9400,0,2650.5,100.5,1244.6,0.007,1.5,0.002
2019-02-07_-95T_9200G_50s.csv,20190207,-95,9200,50,2589.5,93.9,721.6,0.023,1.5,0.004
2019-02-07_-95T_9200G_300s.csv,20190207,-95,9200,300,2574.5,99.7,741.0,0.061,1.5,0.006
2019-02-07_-95T_9200G_1s.csv,20190207,-95,9200,1,2731.5,94.6,1238.5,0.002,1.5,0.007
2019-02-07_-95T_9200G_10s.csv,20190207,-95,9200,10,2668.5,103.7,1244.2,0.01,1.5,-0.0
2019-02-07_-95T_9200G_100s.csv,20190207,-95,9200,100,2569.5,97.1,1223.3,0.013,1.5,0.013
2019-02-07_-95T_9200G_0s.csv,20190207,-95,9200,0,2702.5,100.9,726.8,0.008,1.5,-0.011
2019-02-07_-95T_9100G_50s.csv,20190207,-95,9100,50,2616.5,93.2,592.9,0.022,1.5,0.008
2019-02-07_-95T_9100G_300s.csv,20190207,-95,9100,300,2570.5,99.9,617.1,0.056,1.5,0.013
2019-02-07_-95T_9100G_1s.csv,20190207,-95,9100,1,2737.5,95.3,723.9,0.007,1.5,0.003
2019-02-07_-95T_9100G_10s.csv,20190207,-95,9100,10,2672.5,96.2,1675.9,0.009,1.5,-0.006
2019-02-07_-95T_9100G_100s.csv,20190207,-95,9100,100,2603.5,97.2,597.5,0.027,1.5,0.009
2019-02-07_-95T_9100G_0s.csv,20190207,-95,9100,0,2702.5,106.8,610.5,-0.035,1.5,-0.008
2022-02-03_-90T_7000G_15s.csv,20220203,-90,7000,15,1186.5,51.3,1796.0,0.0408,0.7,0.0038
2022-02-03_-90T_6800G_30s.csv,20220203,-90,6800,30,1192.5,47.4,809.0,0.0,0.7,0.003
2022-02-03_-90T_6800G_25s.csv,20220203,-90,6800,25,1192.5,49.0,728.7,0.0,0.7,0.0036
2022-02-03_-90T_6800G_1s.csv,20220203,-90,6800,1,1192.5,46.8,554.6,0.0,0.53,0.0024
2022-02-03_-90T_6800G_150s.csv,20220203,-90,6800,150,1192.5,47.2,680.1,0.0,0.7,0.0074
2019-02-24_-109T_9200G_200s.csv,20190224,-109,9200,200,3250.5,91.7,917.4,0.0,1.5,0.01
2022-02-03_-90T_7000G_20s.csv,20220203,-90,7000,20,1189.5,47.1,1651.3,0.037,0.7,0.0047
2022-02-03_-90T_7000G_50s.csv,20220203,-90,7000,50,1189.5,50.6,1555.7,0.0491,0.7,0.007
2022-02-03_-90T_7000G_30s.csv,20220203,-90,7000,30,1189.5,45.9,1600.9,0.04,0.7,0.0058
2022-02-03_-90T_7000G_25s.csv,20220203,-90,7000,25,1188.5,44.6,1630.2,0.045,0.61,0.0045
2022-02-03_-90T_7000G_1s.csv,20220203,-90,7000,1,1186.5,50.5,1492.1,0.0408,0.61,0.0035
2022-02-03_-90T_7000G_150s.csv,20220203,-90,7000,150,1192.5,48.7,1434.2,0.05,0.6,0.01
2022-02-03_-90T_7000G_0s.csv,20220203,-90,7000,0,1186.5,51.5,1492.1,0.0427,0.6,0.003
2022-02-03_-90T_6800G_50s.csv,20220203,-90,6800,50,1192.5,47.2,750.9,0.0423,0.7,0.0041
2022-02-03_-90T_6800G_5s.csv,20220203,-90,6800,5,1189.5,44.8,681.8,0.04,0.7,0.0027
2022-02-03_-90T_6800G_3s.csv,20220203,-90,6800,3,1190.5,50.4,701.0,0.035,0.7,0.0025
2022-02-03_-90T_6800G_2s.csv,20220203,-90,6800,2,1192.5,48.2,767.5,0.031,0.7,0.0034
2022-02-03_-90T_6800G_20s.csv,20220203,-90,6800,20,1192.5,49.3,774.2,0.034,0.7,0.0038
2022-02-03_-90T_6800G_15s.csv,20220203,-90,6800,15,1192.5,48.0,791.0,0.035,0.7,0.0025
2022-02-03_-90T_6800G_100s.csv,20220203,-90,6800,100,1192.5,47.7,794.7,0.038,0.7,0.0059
2019-02-24_-109T_9200G_150s.csv,20190224,-109,9200,150,3244.5,89.2,1095.0,0.83,1.78,0.01
2019-02-24_-109T_9200G_100s.csv,20190224,-109,9200,100,3266.5,94.3,865.1,0.731,1.5,0.007
2019-02-23_-109T_9200G_30s.csv,20190223,-109,9200,30,3293.5,101.4,909.7,0.212,1.5,0.01
2022-02-03_-90T_7000G_3s.csv,20220203,-90,7000,3,1186.5,50.5,1702.5,0.04,0.63,0.0027
2022-02-03_-90T_7000G_2s.csv,20220203,-90,7000,2,1186.5,44.0,1755.1,0.041,0.64,0.003
2022-02-03_-90T_7000G_5s.csv,20220203,-90,7000,5,1186.5,51.1,1699.1,0.041,0.67,0.003
2022-06-23_-92T_11168G_8s.csv,20220623,-92,11168,8,1220.0,51.5,3107.8,0.009,0.7,0.0343
2022-06-23_-92T_11168G_60s.csv,20220623,-92,11168,60,1258.0,54.3,3435.9,0.015,0.7,0.04
2022-06-19_0T_10000G_8s.csv,20220619,0,10000,8,1147.0,55.1,1313.2,0.0138,0.71,0.1062
