Internal-count,RA,DEC,Z,fuv_mag,nuv_mag,flag,x_mm,y_mm,yline_mm,slit_length,slit_width,coord_x,coord_y,x_mask_corrected,y_mask_corrected,X_IMAGE,Y_IMAGE,NUV_ned,FUV_ned,Separation
17,352.2417297363281,0.1900971382856369,0.7424795,-999.0,22.44256,1.0,-4.253210713564453,-0.9443762484672947,2.7210479948314625,0.47272727,0.075,-4.283822163396366,-0.9511731668659552,-4.2863739,-0.951522812,1828.1985286772613,1375.8124192420178,23.0162,-999.0,0.3345936079360441
11,352.37286376953125,0.2396279722452164,0.64324945,-999.0,22.984327,1.0,1.2873711924915945,1.14852771257053,-2.717927181091383,0.47272727,0.075,1.296319548904131,1.1565109852907045,1.2959359,1.156249983,1404.700228226552,944.447964949391,22.98433,-999.0,0.8804306517176659
1,352.6260681152344,0.3346569538116455,0.7019126,-999.0,25.671764000000003,1.0,11.957028652603727,5.151417768554601,5.185691052817336,0.47272727,0.075,12.070903803066226,5.20047832452823,12.0016163,5.174747132,2025.3239768840258,127.03316711139736,,,
2,352.597237,0.168072,0.711,0.0,25.999,3.0,10.750188317185305,-1.871992075958532,-0.4275361718827093,0.47272727,0.075,10.844155762953578,-1.8883551673469,10.7978544,-1.882065382,1583.3814839553008,226.0052249578621,21.74399,-999.0,0.16895278655355178
4,352.5700988769531,0.10724475234746933,0.7379746,25.51215,24.416393,1.0,9.606448141617294,-4.438478203336938,-0.7352028720065591,0.47272727,0.075,9.689364282420433,-4.476788042544334,9.6503384,-4.462511699,1570.3677609002048,303.26063000010396,,,
19,352.17352294921875,0.3055605888366699,0.6364599,24.258598000000003,23.325499,1.0,-7.129679643156639,3.9310572732957163,-0.7313651275331425,0.47272727,0.075,-7.186185585487516,3.9622126837351503,-7.1891851,3.961310606,1559.0396057478042,1600.531377322619,23.13935,-999.0,0.4244113722752801
18,352.20465087890625,0.1250244528055191,0.7484036000000001,-999.0,23.850607,1.0,-5.8172507733142735,-3.6920327306593608,0.7032391079676632,0.47272727,0.075,-5.861668889410578,-3.7202235625234565,-5.8651133,-3.720617175,1676.935409506832,1497.595589892424,23.85061,-999.0,0.20220486550785213
3,352.58635,0.290982,0.70495,0.0,25.999,3.0,10.291182727375155,3.313054276578359,3.7622165024478615,0.47272727,0.075,10.380789669872764,3.3419015599195747,10.3364956,3.329675761,1914.338242939333,250.81425782767982,19.92158,20.5572,0.11657203990223862
5,352.5201416015625,0.09924089908599854,0.71084785,-999.0,23.075735,1.0,7.5025532792065714,-4.778575854140258,-3.034560158742626,0.47272727,0.075,7.56350008770105,-4.817394498489749,7.5405154,-4.806265278,1391.144055168836,466.0060182692239,,,
6,352.482666015625,0.2510914206504822,1.0142792,-999.0,23.618528,2.0,5.92437193981131,1.632129696087109,2.7138403165536547,0.47272727,0.075,5.968722587865929,1.6443480393083072,5.9575801,1.641801819,3557.9334120254134,584.0794623159746,,,
7,352.43896484375,0.2728495001792908,0.667039,-999.0,24.842932,1.0,4.079479092994046,2.551680140206784,0.2867073322321574,0.47272727,0.075,4.1091018678359195,2.5702089387466858,4.1037481,2.567647411,1635.535901182045,727.8374572174595,,,
9,352.4061279296875,0.07097799330949782,0.7414168000000001,-999.0,25.499119,1.0,2.6914707658284387,-5.974890477913841,-1.849465034675306,0.47272727,0.075,2.7118340993118677,-6.020095757076988,2.7065558,-6.01426804,1482.478377672953,842.0201619109757,,,
