Internal-count,#main_id,obj,RA,DEC,Z,xmask,ymask,slit_length_left,slit_length_right,offset,thickness,length_slit,x_mm,y_mm,X_IMAGE,Y_IMAGE,NUV_ned,FUV_ned,Separation
44,1.03217836E8,0,32.336883,-5.628133,0.6629,6.173404139,2.527584911,0.08,0.16,0.0,0.075,0.24,6.2134041,2.5275849,1654.901968121735,528.7995672944922,,,
45,1.12012466E8,0,32.340871,-5.569115,0.655,6.339684316,5.018485666,0.16,0.08,0.0,0.075,0.24,6.2996843,5.0184857,1780.2687811490941,526.0454396795801,,,
46,1.03181554E8,0,32.350896,-5.779373,0.7378,6.758956078,-3.858978987,0.12,0.12,0.0,0.075,0.24,6.7589561,-3.858979,1650.1197821110827,487.83475700690116,,,
48,1.12007353E8,0,32.37106,-5.59419,0.6835,7.606980809,3.958979139,0.12,0.12,0.0,0.075,0.24,7.6069808,3.9589791,1869.5801030669968,420.29064107027455,,,
49,1.12007404E8,0,32.38187,-5.595051,0.6415,8.060312591,3.922087597,0.12,0.12,0.0,0.075,0.24,8.0603126,3.9220876,1628.657954189086,386.8192941097591,,,
51,1.03208984E8,0,32.395107,-5.663555,0.6639,8.616015666,1.030386565,0.12,0.12,0.0,0.075,0.24,8.6160157,1.0303866,1560.9207744711825,343.6524569069011,,,
52,1.03181519E8,0,32.402062,-5.778129,0.6566,8.903937861,-3.805264482,0.12,0.12,0.0,0.075,0.24,8.9039379,-3.8052645,1193.3272794473005,323.017555862347,,,
54,1.03220895E8,0,32.418352,-5.614853,0.6651,9.589524997,3.084707769,0.12,0.11,-0.011,0.075,0.23,9.584525,3.0737078,1706.2141885675483,267.405180785481,,,
4,1.02189833E8,0,31.930955,-5.626884,0.656,-10.87441134,2.575589801,0.12,0.12,0.0,0.075,0.24,-10.8744113,2.5755898,1627.1841582147774,1848.54087380804,23.63886,-999.0,0.10269955093998392
18,1.02172603E8,0,32.103019,-5.709161,0.6434,-3.656907987,-0.894374696,0.12,0.12,0.0,0.075,0.24,-3.656908,-0.8943747,1311.901462152516,1291.433119964113,23.94634,-999.0,0.850621585732934
56,1.03220057E8,0,32.422267,-5.618051,0.6663,9.753534207,2.949591973,0.0,0.0,0.0,0.075,0.0,9.7535342,2.949592,1704.8355906114587,254.4091290399485,,,
