Internal-count,RA,DEC,Z,flag,x_mm,y_mm,yline_mm,slit_length,slit_width,coord_x,coord_y,x_mask_corrected,y_mask_corrected,X_IMAGE,Y_IMAGE,alpha_j2000,delta_j2000,nuv_mag,nuv_magerr,fuv_mag,fuv_magerr,Separation,NUV_ned,FUV_ned
4,0.28894000000000003,1.44459,0.725,./qmult1/,10.74985226874078,0.24703836059371156,2.4977267305708124,0.47272727,0.075,10.842984717382402,0.24916589410736023,10.797451123299936,0.2478818550805837,1840.8670841203675,243.86143818679474,0.28949298969427373,1.4448260884530133,19.024685,0.019815298,20.685652,0.038674243,2.164019192311892,18.85,20.34
5,0.20073,1.5538,0.664,./qmult1/,7.8886694558317165,5.43208530290049,2.639170095956739,0.47272727,0.075,7.954134945282936,5.477163922932208,7.926128535641882,5.461615084729051,1831.7261430900144,400.5237628839632,0.2005973777585498,1.5538199181710135,19.051374,0.013222965,19.892982,0.025918579,0.48262105561987395,19.74,21.25
14,0.26145999999999997,1.4949700000000001,0.726,./qmult1/,9.978798853783994,2.541725765588142,4.622280586346857,0.47272727,0.075,10.063789179875474,2.5633577957521156,10.023968219034005,2.5545980692144403,2015.8086187043966,259.49832318401263,0.26151205526462346,1.4951290326065936,20.494076,0.036607355,21.638414,0.0646168,0.6023874304990923,20.4941,99.9
15,0.34967,1.33461,0.721,./qmult1/,12.455491747973143,-4.762466239353542,-2.2788493432136283,0.47272727,0.075,12.575210615777012,-4.808216493305147,12.501725262556542,-4.785137612692872,1958.5779337803972,481.4804303272002,0.34950100817222723,1.3346443284161857,21.983559,0.08780946,22.557043,0.11089141,0.6206339995967923,22.2948,22.5822
2,22.67362,0.66677,0.6559999999999999,./qmult7/,9.166632530913423,5.3112636779211435,1.9435786323233186,0.47272727,0.075,9.245583407138078,5.356996022254449,9.207376260203437,5.3386720329613295,1776.814455985725,304.4467399089616,22.673694835774416,0.6671307915829539,17.908949,0.009581477,18.718887,0.023544217,1.3264922918313709,17.9172,18.6453
6,22.55721,0.62048,0.741,./qmult7/,5.226252100742708,1.798431981021356,5.060657185372066,0.47272727,0.075,5.264787392317882,1.8116927350881706,5.256331174197004,1.8093279091945194,2024.7817808152336,616.9920584217854,22.55703576462048,0.6204719815824179,-999.0,-999.0,22.692818,0.20293374,0.6278744964204225,99.9,99.9
8,22.27638,0.7227899999999999,0.743,./qmult7/,-7.395435177526459,1.801826381320915,5.211619706561661,0.47272727,0.075,-7.4530259713548,1.8158531983425603,-7.457013515174645,1.8157334820637276,2066.6305440593146,1590.3545735098062,22.27623862507185,0.7229785956551941,21.543106,0.10288298,23.870089,0.37761354,0.8485010612042011,21.5206,99.9
12,22.4059,0.65525,0.6559999999999999,./qmult7/,-1.282393691626992,0.9930300784292987,-1.9177984293291317,0.47272727,0.075,-1.2913038147545794,0.9999297515277172,-1.2916392303875712,1.0000640388226916,1497.667730531657,1120.1138313163906,22.405867945623587,0.6552391819591902,20.594442,0.058462102,21.924221,0.13641007,0.12178319952549511,20.9524,99.9
13,22.2991,0.66674,0.742,./qmult7/,-5.686790655494019,-0.09412708700158964,3.444669053504666,0.47272727,0.075,-5.728874957416115,-0.09482622261176177,-5.732492860534164,-0.09496358363815098,1924.8119709255182,1464.7357819560857,22.298990648436938,0.666977066708874,21.601425,0.12187666,22.657532,0.27556413,0.9398466506154207,21.7696,99.9
17,22.45386,0.59717,0.748,./qmult7/,1.4615027187835672,-0.6202302818514861,3.4170303510996085,0.47272727,0.075,1.4716548252539878,-0.6245386085422415,1.471268575296864,-0.6244147653484408,1905.7585625785725,912.387991496742,22.453911820566475,0.5968933616116164,23.338202,0.33094954,-999.0,-999.0,1.0132185608351825,22.5676,99.9
