Internal-count,RA,DEC,Xmm,Ymm,x_mm,y_mm,Z,X_IMAGE,Y_IMAGE,NUV_ned,FUV_ned,Separation
15,36.821381,0.51069,-3.582421,-6.089412,-3.555182,-6.043112,0.720616,1415.5567001022496,1298.3288734560813,23.93094,-999.0,0.3980329798617938
23,36.931808,0.643882,1.15737,-0.375674,1.149408,-0.37309,0.672007,1515.3490668620198,935.9608030777534,24.84669,-999.0,0.2609451517677556
40,37.111828,0.581537,8.88417,-3.053757,8.811543,-3.028793,0.728349,1661.8314247921196,344.37816724601015,,,
11,36.760304,0.539189,-6.203969,-4.863237,-6.155668,-4.825373,0.671372,1216.9543355624444,1497.9324327385018,23.68289,-999.0,0.9517539580327337
42,37.131805,0.508607,9.741796,-6.184039,9.655641,-6.129349,0.724101,1428.568435340482,275.7413299056343,,,
LyC1,36.618877,0.650032,-12.274093,0.0,-12.162341,0.0,1.31449,5170.388592916323,1848.1395152423383,,,
LyC2,36.641388,0.637363,-11.307921,-0.604055,-11.208743,-0.598757,1.29139,5016.527541703775,1858.0362482899159,,,
LyC3,36.668468,0.623452,-10.145596,-1.225754,-10.06021,-1.215438,1.30274,5049.026133395139,1803.2345831396021,,,
LyC4,36.678288,0.619685,-9.72415,-1.390686,-9.643462,-1.379146,1.30169,5033.37323167797,1773.555547565522,,,
OVI15,37.196377,0.553333,12.513298,-4.265489,12.617378,-1.540776,0.95583,3054.1685720425876,-13.780940986071954,23.59668,-999.0,0.9165794710677906
LyC5,36.6922,0.685031,-9.126891,1.384153,-9.052694,1.3729,1.29915,5187.763078437274,1625.5467325901511,,,
LyC6,36.886871,0.756939,-0.771362,4.489065,-0.765833,4.456887,1.28973,5291.7150346128465,1021.4383799593743,,,
LyC7,37.116695,0.802739,9.092697,6.460984,9.013465,6.404684,1.32996,5636.533481020041,3751.4357789355763,,,
LyC8,37.147308,0.780568,10.406667,5.509609,10.313778,5.46043,1.29221,5463.829098987667,3846.633750069743,,,
19,36.870201,0.718389,-1.486866,2.831874,-1.476441,2.81202,0.653177,1624.2212415955526,1140.6498094500018,25.18274,-999.0,0.7819471458909426
OVI1,36.717957,0.733981,-8.021294,3.497651,-7.957118,3.469667,0.97346,3488.9054658043356,1644.5318457049163,,,
OVI2,36.806953,0.647674,-4.201556,-0.147231,-4.171632,-0.146183,1.01733,3499.090684839341,1337.5358719756905,,,
OVI3,36.830219,0.607183,-3.202983,-1.940905,-3.180345,-1.927187,1.04844,3553.6972263718167,1264.13741155857,,,
